issue_id,issue_resolved_date,issue_resolution,issue_content,issue_priority,issue_assignee,issue_assignee_username,issue_created_date,issue_summary,issue_status,issue_type
MNG-2904,Sat Jun 02 00:00:00 EDT 2007,Fixed,to reproduce edit your ~/.m2/settings.xml and add a new profile. Mark it as active by default and make sure it has no ID. The resulting stack is thus: java.lang.ClassCastException: Settings.addActiveProfiles(string) parameter must be instanceof java.lang.String         at org.apache.maven.settings.Settings.addActiveProfile(Settings.java:91)         at org.apache.maven.settings.DefaultMavenSettingsBuilder.activateDefaultProfiles(DefaultMavenSettingsBuilder.java:197)         at org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings(DefaultMavenSettingsBuilder.java:177)         at org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings(DefaultMavenSettingsBuilder.java:153)         at org.apache.maven.settings.DefaultMavenSettingsBuilder.buildSettings(DefaultMavenSettingsBuilder.java:141)         at org.apache.maven.cli.MavenCli.buildSettings(MavenCli.java:315)         at org.apache.maven.cli.MavenCli.main(MavenCli.java:176)         at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)         at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)         at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)         at java.lang.reflect.Method.invoke(Method.java:585)         at org.codehaus.classworlds.Launcher.launchEnhanced(Launcher.java:315)         at org.codehaus.classworlds.Launcher.launch(Launcher.java:255)         at org.codehaus.classworlds.Launcher.mainWithExitCode(Launcher.java:430)         at org.codehaus.classworlds.Launcher.main(Launcher.java:375),Major,Jason van Zyl,jvanzyl,Tue Mar 27 00:00:00 EDT 2007,[MNG-2904] Misleading error message if profiles that are active by default do not have an ID,Closed,improvement
MNG-2930,Tue May 29 00:00:00 EDT 2007,Fixed,Update the JavaMojoDescriptorExtractor in the maven-plugin-tools-java module to make it more friendly for reusability.,Minor,Brian Fox,brianf,Wed Apr 04 00:00:00 EDT 2007,[MNG-2930] Update JavaMojoDescriptorExtractor to make it more re-use friendly,Closed,improvement
MNG-2947,Fri Jan 11 00:00:00 EST 2008,Fixed,There is a guide to deploying 3rd party jars to a remote repository &#91;1&#93;  using deploy:deploy-file. This guide does not mention how source jars can be deployed along with the code jar. A section should be added to the end of this guide providing a quick explanation. Here is an example of what such documentation might look like: Deploying Source Jars To deploy a 3rd party source jar  packaging should be set to "java-source"  and generatePom should be set to false. &#91;1&#93; http://maven.apache.org/guides/mini/guide-deploying-3rd-party-jars.html,Minor,Siveton Vincent,siveton,Fri Apr 13 00:00:00 EDT 2007,[MNG-2947] Deploy 3rd party source jar,Closed,improvement
MNG-2954,Wed Jan 09 00:00:00 EST 2008,Fixed,Hi 1) the "Guide to uploading artifacts to the Central Repository" (http://maven.apache.org/guides/mini/guide-central-repository-upload.html) says  that upload requests have to be made as Jira issues using the URL http://jira.codehaus.org/secure/CreateIssue.jspa?pid=10367&amp;amp;issuetype=3. Under this URL one has to choose a Project and an Issue Type. It would be great if the guide could say which project and issue type to choose. I suppose that project is "maven-upload-requests" and issue type is wish  but I'm not sure. 2) the guide says that new bundles have to be downloadable via a URL which has to be entered into the Jira issue. But Jira also offers the possibility to add an attachment to the issue (up to 10MB). It would be nice  if the guide could clarify on this possibilty  either that using attachments is equal to download urls (then the url doesn't have to be a mandatory field any more) or that attachments added to the issue will be ignored. Kind regards  Stefan Prange,Minor,Siveton Vincent,siveton,Wed Apr 18 00:00:00 EDT 2007,[MNG-2954] Docu incomplete:  "Guide to uploading artifacts to the Central Repository": Jira project not specified  Attachment usage unclear,Closed,improvement
MNG-2964,Sun Jan 06 00:00:00 EST 2008,Fixed,How to set message level for maven2 output? (it always shows INFO level messages),Major,Siveton Vincent,siveton,Thu Apr 26 00:00:00 EDT 2007,[MNG-2964] Need documentation about Maven2 logging,Closed,improvement
MNG-2965,Fri Apr 27 00:00:00 EDT 2007,Fixed,Need to add the following to their respective svn:ignore properties: ?      maven-artifact-manager\.settings ?      maven-artifact-test\.settings ?      maven-artifact\.settings ?      maven-core\.settings ?      maven-error-diagnostics\.settings ?      maven-model\.settings ?      maven-monitor\.settings ?      maven-plugin-api\.settings ?      maven-plugin-descriptor\.settings ?      maven-plugin-parameter-documenter\.settings ?      maven-plugin-registry\.settings ?      maven-profile\.settings ?      maven-project\.settings ?      maven-reporting\maven-reporting-api\.settings ?      maven-repository-metadata\.settings ?      maven-script\maven-script-ant\.classpath ?      maven-script\maven-script-ant\.project ?      maven-script\maven-script-ant\.settings ?      maven-script\maven-script-beanshell\.settings ?      maven-settings\.settings ,Major,Carlos Sanchez,carlos,Fri Apr 27 00:00:00 EDT 2007,[MNG-2965] Update svn:ignores for developing with eclipse,Closed,improvement
MNG-2992,Sat Jun 02 00:00:00 EDT 2007,Fixed,Batch file uses %HOME% let's set this to a nice value if blank. The patch adds this line to set HOME to the value of  HOMEDRIVE + HOMEPATH,Minor,null,null,Thu May 17 00:00:00 EDT 2007,[MNG-2992] Batch file uses %HOME% - can set this to a value if blank,Closed,improvement
MNG-2997,Fri Sep 05 00:00:00 EDT 2008,Fixed,The introduction-to-dependency-mechanism page should explain how the 'optional' element combines with the 'scope' element. http://maven.apache.org/guides/introduction/introduction-to-dependency-mechanism.html,Minor,Brian Fox,brianf,Sun May 20 00:00:00 EDT 2007,[MNG-2997] Dependency mechanism page should describe the 'optional' element,Closed,improvement
MNG-3,Sun Sep 24 00:00:00 EDT 2006,Fixed,ide integration needs a listener mechanism so that when project/model is changed interested parties are notified and can eventually reflect those changes (f.i. refresh a view). we've implemented that in mevenide  please see :  http://cvs.mevenide.codehaus.org/cvsweb.cgi/mevenide-core/src/java/org/mevenide/project/,Major,Jason van Zyl,jvanzyl,Tue Apr 13 00:00:00 EDT 2004,[MNG-3] MavenProject / pom listener,Closed,improvement
MNG-3004,Thu Apr 08 00:00:00 EDT 2010,Fixed,One of the great advantages with maven over scripted build environments is that it can calculate the dependencies of the build  and it could execute items that are independent of each other in parallel. Unfortunately it currently doesn't do this  which would be a big win over tools such as 'ant'. It also means that multicore machines have lots of idle capacity when running a serial build that could be utilised. I had a quick shot at seeing what might be required. Bear in mind this is the first time I have looked at maven internally  and I was just trying to feel my way around and build a POC. I got some of the way there  but my build threads don't seem to have the correct classpath - I think this is something to do with plexus / classworlds - but I don't know enough. It'd be great to get this feature in a future version  or a way of running my hack (figuring out why in a thread has not the plexus stuff) in the interim.,Major,Kristian Rosenvold,krosenvold,Tue May 22 00:00:00 EDT 2007,[MNG-3004] Allow build lifecycle to execute projects in parallel,Closed,improvement
MNG-3024,Tue Oct 16 00:00:00 EDT 2007,Fixed,I love how when an artifact can't be found  a nice error explains how to install it locally. This is a great technique for onboarding new maven users who might otherwise be frustrated  thinking that they can't use things no in the public repo. Kudos to whoever did this initial work. Now I suggest you take it a step further by including instructions for deploying the file to a personal repo. For example: Caused by: Missing: ---------- 1) j2ssh:j2ssh-core:jar:0.2.9   Try downloading the file manually from the project website.   Then  install it using the command:        mvn install:install-file -DgroupId=j2ssh -DartifactId=j2ssh-core \           -Dversion=0.2.9 -Dpackaging=jar -Dfile=/path/to/file   Alternatively  if you host your own repository you can deploy the file there:       mvn deploy:deploy-file -DgroupId=j2ssh -DartifactId=j2ssh-core \           -Dversion=0.2.9 -Dpackaging=jar -Dfile=/path/to/file           -Durl=... -DrepositoryId=...   Path to dependency:          1) com.hostedqa:hostedqa-anywhere-server:jar:1.7.4-SNAPSHOT         2) j2ssh:j2ssh-core:jar:0.2.9,Minor,Jason van Zyl,jvanzyl,Wed May 30 00:00:00 EDT 2007,[MNG-3024] Missing artifact error text improvement,Closed,improvement
MNG-304,Wed Apr 13 00:00:00 EDT 2005,Fixed,this surely can find a beter home as it is only needed by maven-compiler-plugin (though it is worth keeping it reusable - perhaps it could even be in plexus-compilers  or if not  plexus-utils),Major,Brett Porter,brettporter,Tue Apr 12 00:00:00 EDT 2005,[MNG-304] move source scanner stuff out of maven-plugin-api,Closed,improvement
MNG-3047,Tue Aug 14 00:00:00 EDT 2007,Fixed,Over the course of investigating MNG-3046  I discovered DefaultArtifactVersion's implementation of Comparable.compareTo() is inconsistent with its equals(Object).  (DefaultArtifactVersion doesn't implement equals(...); it's using the instance equals it gets from Object.)  The contract for Comparable.compareTo()&#91;1&#93; states  while it's not strictly required the behavior between compareTo and equals be consistent  breaking it should be an overt and visible decision.  In the case of DefaultArtifactVersion  there's really no reason not to implement equals and hashCode. I have a fix-I'll attach a patch shortly-that implements equals and hashCode following the recipes from Bloch's "Effective Java."  In fact  equals now uses a cleaned-up compareTo  ensuring consistency across these methods. Since the interface ArtifactVersion extends Comparable (as opposed to DefaultArtifactVersion implementing both ArtifactVersion and Comparable) I assume the intent is to be able to compare different ArtifactVersions regardless of implementation.  Therefore  I added the equals and hashCode declaration to the interface and made the equals and compareTo implementations work with all ArtifactVersions. Note that this work obviates the patch for MNG-3046.  I made that patch small and surgical to fix a major issue.  This fix is less urgent-still important  imho-but I wasn't sure if the interface changes were right for the whole project  if such a big change is warranted  etc.  The bottom line is: only that patch or this one need be applied  not both. &#91;1&#93; http://java.sun.com/javase/6/docs/api/java/lang/Comparable.html#compareTo(T),Minor,John Casey,jdcasey,Mon Jun 11 00:00:00 EDT 2007,[MNG-3047] DefaultArtifactVersion compareTo inconsistent with equals,Closed,improvement
MNG-3062,Tue Aug 14 00:00:00 EDT 2007,Fixed,I would like to be able to access the execution ID from within a plugin.  This could be useful for example to run only certain executions.  This could be done with a small change to the plugin expression evaluator. I created a patch that would give the plugin access to the current MojoExecution.,Major,John Casey,jdcasey,Tue Jun 19 00:00:00 EDT 2007,[MNG-3062] Allow access to mojoExecution from within plugin.,Closed,improvement
MNG-3113,Tue Nov 27 00:00:00 EST 2007,Fixed,I have just used the maven-archetype-archetype following the article 'Guide to Creating Archetypes' and I have noticed that the given directory structure under archetype/src/main/resources/META-INF/archetype.xml should read archetype/src/main/resources/META-INF/maven/archetype.xml.,Trivial,Brian Fox,brianf,Wed Jul 18 00:00:00 EDT 2007,[MNG-3113] Slight typo in 'Guide to Creating Archtypes',Closed,improvement
MNG-3118,Tue Jul 24 00:00:00 EDT 2007,Fixed,Currently maven-project creates the test classpath in the order: classes  tests-classes  dependencies. It would be better if test-classes came first because sometimes it is useful for a test class to replace a main class during testing.  The opposite case is not normally true (i.e. one would not want to override a test class with one of the main classes).,Major,null,null,Mon Jul 23 00:00:00 EDT 2007,[MNG-3118] Test-classes should come before classes in the classpath,Closed,improvement
MNG-3152,Tue Aug 21 00:00:00 EDT 2007,Fixed,Change to plugin testing harness to allow the setting of ArtifactRepository on the ArtifactStub,Major,Andrew Williams,handyande,Wed Aug 15 00:00:00 EDT 2007,[MNG-3152] Change to plugin testing harness to allow the setting of ArtifactRepository on the ArtifactStub,Closed,improvement
MNG-3168,Sun Jan 24 00:00:00 EST 2010,Fixed,When using the "-f" switch and passing the name of a file which does not exist  Maven complains about pom.xml  not the alternate file name.  For example  the command: mvn -f foo.xml install produces this error message: Cannot execute mojo: resources. It requires a project with an existing pom.xml  but the build is not using one. This error message is confusing and incorrect.  Maven should instead report that the file "foo.xml" could not be loaded.,Major,Benjamin Bentmann,bentmann,Tue Aug 28 00:00:00 EDT 2007,[MNG-3168] Correct error message when project descriptor not found,Closed,improvement
MNG-3182,Mon Sep 03 00:00:00 EDT 2007,Fixed,All the console based logging code needs to move to MavenCli.,Major,Jason van Zyl,jvanzyl,Mon Sep 03 00:00:00 EDT 2007,[MNG-3182] Remove console logging from DefaultMaven,Closed,improvement
MNG-3183,Mon Sep 03 00:00:00 EDT 2007,Fixed,We should have an option to log to text files: mvn -l build.txt clean ,Major,Jason van Zyl,jvanzyl,Mon Sep 03 00:00:00 EDT 2007,[MNG-3183] Allow a user to specify logging to a text file,Closed,improvement
MNG-3201,Mon Oct 22 00:00:00 EDT 2007,Fixed,This is completely useless: &#91;DEBUG&#93;   (f) project = org.apache.maven.project.MavenProject@255aaece &#91;DEBUG&#93;   (f) reactorProjects = &#91;org.apache.maven.project.MavenProject@76104acc  org.apache.maven.project.MavenProject@ccadffe2  org.apache.maven.project.MavenProject@16edfcd0  org.apache.maven.project.MavenProject@255aaece  org.apache.maven.project.MavenProject@677f8aca  org.apache.maven.project.MavenProject@52168df7  org.apache.maven.project.MavenProject@b720854  org.apache.maven.project.MavenProject@2879848c  org.apache.maven.project.MavenProject@a5150862  org.apache.maven.project.MavenProject@8f03016b  org.apache.maven.project.MavenProject@baaf2903  org.apache.maven.project.MavenProject@5138d332  org.apache.maven.project.MavenProject@2a99b933  org.apache.maven.project.MavenProject@b40bd50a  org.apache.maven.project.MavenProject@9862258  org.apache.maven.project.MavenProject@70b76a2d  org.apache.maven.project.MavenProject@c9f30a5c  org.apache.maven.project.MavenProject@4082f968  org.apache.maven.project.MavenProject@98122eb0  org.apache.maven.project.MavenProject@38d1386c  org.apache.maven.project.MavenProject@836e6a64  org.apache.maven.project.MavenProject@211a5153&#93;,Major,Brian Fox,brianf,Tue Sep 11 00:00:00 EDT 2007,[MNG-3201] org.apache.maven.project.MavenProject needs a toString(),Closed,improvement
MNG-3203,Tue Jun 09 00:00:00 EDT 2009,Fixed,Currently  it's impossible to configure the two default maven-compiler-plugin mojos in the jar lifecycle (:compile and :test-compile) separately without the configuration for one affecting both. This is because they are both executed in the same (default) execution. We should be assigning these to different execution id's  to allow separate configuration.,Major,John Casey,jdcasey,Tue Sep 11 00:00:00 EDT 2007,[MNG-3203] maven should execute compiler:compile and :test-compile in separate executions  to allow separate configuration,Closed,improvement
MNG-3214,Sun Jan 06 00:00:00 EST 2008,Fixed,Add a link reference to the sun repository with jars. https://maven-repository.dev.java.net/repository/,Trivial,Siveton Vincent,siveton,Tue Sep 18 00:00:00 EDT 2007,[MNG-3214] Coping with SUN JARs,Closed,improvement
MNG-3218,Tue Nov 27 00:00:00 EST 2007,Fixed,In the mojo documentation here: http://maven.apache.org/guides/plugin/guide-java-plugin-development.html It says: Listed below is a POM for a plugin which uses the simple sample mojo: I think it's supposed to say: Listed below is an illustration of the sample mojo project's pom with the parameters set as described in the above table: ,Major,Brian Fox,brianf,Fri Sep 21 00:00:00 EDT 2007,[MNG-3218] Plugin Documentation Update,Closed,improvement
MNG-3224,Mon Dec 22 00:00:00 EST 2008,Fixed,XML catalogs are usable especially for XML validation and in XML editors. They eliminate the need for schemaLocation attribute and online access to schema. They provide convenience and performance for XML processing. XML catalogs should map namespace to single schema file. This schema file can include other files but each namespace should be defined by single "primary" schema file. Unfortunately different maven schemes (maven-4.0.0.xsd  settings-1.0.0.xsd  etc.) define complex types with same name in the same namespace with different content. For Maven 2 I am suggesting quick solution which is to rename all repeating complex types to unique names and then either merge all schemes to one file or create simple "primary" schema file which would include all schema files. For Maven 3 I am suggesting to introduce different namespaces for different formats to allow separate versioning.,Major,Herv� Boutemy,hboutemy,Fri Sep 28 00:00:00 EDT 2007,[MNG-3224] Maven XML schemes are not usable in XML catalogs,Closed,improvement
MNG-3255,Sun Jan 06 00:00:00 EST 2008,Fixed,I tried checking out the 2.1 maven code and build to see if a problem I was seeing with maven eclipse integration was localized to the that integration or was caused by the new maven embedder in 2.1 that they use. I was checking out into a directory on my desktop under windows. The checkout did not complete and had a message: svn: Can't open file 'maven-components\maven-core\src\test\resources\org\apache\ maven\extension\test-extension-repo\org\apache\maven\core\test\test-lifecycle-an d-artifactHandler\1\.svn\tmp\text-base\test-lifecycle-and-artifactHandler-1.pom. md5.svn-base': The system cannot find the path specified. The problem is that while windows allows filenames up to 256 characters the maximum path length it allows is 260 characters. When you add that path to the path to the desktop directory it was too long. I was able to check it out to the root directory without problem. The guide to building maven should probably mention that for Windows users in the part about checking out the source.,Major,Siveton Vincent,siveton,Wed Oct 24 00:00:00 EDT 2007,[MNG-3255] Documentation for checking out and build should warn abour long path names on Windows,Closed,improvement
MNG-3268,Fri May 02 00:00:00 EDT 2008,Fixed,It is currently not possible to have more than one -P on the same command line. Only the first specified profile is considered. So if you do mvn -Pmain -Ptest only the main profile will be taken into account. This may sound enough but it's not when your maven call is wrapped into a batch file. Let's say you have a batch doing the compilation of a given module: a.bat ------------------------------------- mvn install -Pmymodule %* ------------------------------------- and you want to pass a special integration tests profile you would do: a.bat -Pintegration-tests But that won't work since you are not allowed to have two -P. To merge them in DOS shell is quite a pain in the ***.... ,Major,Paul Gier,pgier,Thu Nov 01 00:00:00 EDT 2007,[MNG-3268] Command line doesn't handle multiple -P correctly,Closed,improvement
MNG-3274,Mon Nov 05 00:00:00 EST 2007,Fixed,I have changed the MavenMetadataSource to have a flag which will determine if we blow up when a POM isn't present. It will not blow up but it's still pathetic that we get projects that don't give us POMs.,Major,Jason van Zyl,jvanzyl,Mon Nov 05 00:00:00 EST 2007,[MNG-3274] Have a clear flag to allow a POM or not,Closed,improvement
MNG-3279,Fri Jan 04 00:00:00 EST 2008,Fixed,It would be helpful if MojoFailureException provides constructors to supply an inner exception  just like MojoExecutionException does already.,Trivial,Siveton Vincent,siveton,Thu Nov 08 00:00:00 EST 2007,[MNG-3279] Support Exception Chaining for MojoFailureException,Closed,improvement
MNG-3318,Fri Jan 04 00:00:00 EST 2008,Fixed,ActiveProjectArtifact should have appropriate equals and hashCode method like the DefaultArtifact  to be comparable and to be usable with hash based collections.,Major,Siveton Vincent,siveton,Wed Dec 12 00:00:00 EST 2007,[MNG-3318] ActiveProjectArtifact should have appropriate equals and hashCode methods,Closed,improvement
MNG-3331,Tue Feb 05 00:00:00 EST 2008,Fixed,When collecting the sub modules during a reactor build  the path to the module POMs should always be normalized. Currently  this happens only on a Windows platform via File.getCanonicalFile(). The attached patch adds normalization (but not canonicalization) for other platforms  too. The motivation: Consider a multi module project with the following directory structure:   project/     project-parent/     project-module/ such that the parent POM in project-parent will contain    &lt;module&gt;../project-module&lt;/module&gt; to reference the sub module. Simple string/path concatenation will therefore deliver a path like     {SNIP}/project-parent/../project-module for the sub module. Having   {SNIP} /project-module  instead is surely better  and may it be just for nice log output. However  certain plugins/tools try to detect symlinks by comparing the canonicalized path with the absolute path of a file. While users of DirectoryScanner are usually fine because this class always canonicalizes the base directory before the check  code that does not know about a base directory but simply gets a single file will erroneously detect a symlink because ".." gets removed during canonicalization. This actually happens with the CpdReport of the maven-pmd-plugin. See CPD.addFile(int  File) for the cause  i.e. the code near line 97 where it prints "Skipping  {file}  since it appears to be a symlink".,Major,John Casey,jdcasey,Fri Dec 21 00:00:00 EST 2007,[MNG-3331] Normalize paths to sub modules,Closed,improvement
